iter	RMSE
0	14956.58565
1	14124.24997
2	13256.34359
3	12577.03793
4	11912.62253
5	11296.24748
6	10752.50257
7	10302.65195
8	9915.88781
9	9500.54484
10	9117.299284
11	8782.331656
12	8495.296562
13	8188.113693
14	7910.923402
15	7676.985811
16	7449.597472
17	7213.114344
18	7024.076737
19	6838.489289
20	6673.550536
21	6522.051568
22	6380.121275
23	6268.851517
24	6166.973038
25	6065.750233
26	5958.939624
27	5836.078907
28	5742.83581
29	5671.970484
30	5572.193746
31	5517.750896
32	5469.258379
33	5406.622894
34	5317.751467
35	5271.085794
36	5212.927315
37	5150.005478
38	5093.7227
39	5024.008754
40	4971.123376
41	4940.203785
42	4886.145644
43	4831.745188
44	4794.424933
45	4760.278021
46	4718.228552
47	4701.315191
48	4651.517474
49	4620.784464
50	4585.144907
51	4524.357775
52	4484.478182
53	4444.497005
54	4389.807334
55	4347.157687
56	4314.325273
57	4270.53429
58	4236.016379
59	4207.706267
60	4181.570773
61	4152.139423
62	4110.457782
63	4083.408622
64	4040.939132
65	4007.164647
66	3977.105992
67	3949.907777
68	3907.612288
69	3886.666128
70	3866.185104
71	3858.154126
72	3843.319504
73	3808.071695
74	3781.454587
75	3756.78246
76	3736.066684
77	3707.216648
78	3701.780902
79	3667.454848
80	3660.308243
81	3644.512523
82	3614.089279
83	3593.737751
84	3572.3959
85	3565.926407
86	3530.993648
87	3526.605303
88	3500.039583
89	3460.629921
90	3455.98436
91	3430.226575
92	3406.295117
93	3383.787542
94	3348.790024
95	3338.969201
96	3310.161305
97	3301.30878
98	3270.325943
99	3266.404357
