iter	Passed	Remaining
0	7	696
1	12	604
2	17	566
3	22	547
4	28	539
5	34	538
6	39	526
7	45	518
8	50	508
9	55	499
10	61	493
11	66	485
12	71	478
13	77	474
14	83	470
15	89	469
16	94	462
17	100	456
18	106	452
19	111	447
20	116	440
21	122	433
22	127	426
23	133	421
24	139	418
25	144	411
26	149	405
27	155	399
28	160	393
29	167	389
30	173	385
31	179	380
32	184	374
33	189	367
34	195	362
35	200	356
36	205	350
37	211	344
38	216	338
39	221	332
40	227	327
41	233	321
42	238	315
43	243	309
44	248	304
45	255	300
46	263	297
47	270	293
48	278	289
49	286	286
50	292	281
51	300	277
52	307	272
53	315	268
54	321	263
55	328	258
56	334	252
57	341	247
58	346	241
59	353	235
60	358	229
61	364	223
62	371	218
63	377	212
64	383	206
65	389	200
66	395	195
67	402	189
68	408	183
69	414	177
70	419	171
71	425	165
72	431	159
73	438	154
74	444	148
75	450	142
76	456	136
77	463	130
78	469	124
79	475	118
80	480	112
81	487	106
82	493	101
83	499	95
84	505	89
85	512	83
86	518	77
87	525	71
88	531	65
89	537	59
90	543	53
91	549	47
92	556	41
93	562	35
94	569	29
95	575	23
96	582	18
97	589	12
98	596	6
99	603	0
